Entry_ID,Eye tracking,Imaging structure,Imaging function,Stimuli,Modality,Repetition of encoding trials,Delay
Daugherty_2017_Task_2,0.0,1.0,0.0,1.0,1.0,1.0,1.0
Day_1998_Task_1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Delgado_2011_Task_1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
DeMarie_2003_Task_1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
DeMarie_2003_Task_2,0.0,0.0,0.0,1.0,1.0,1.0,1.0
DeMarie_2003_Task_3,0.0,0.0,0.0,1.0,1.0,1.0,1.0
DeMarie_2003_Task_5,0.0,0.0,0.0,1.0,1.0,1.0,1.0
DeMarie_2003_Task_6,0.0,0.0,0.0,1.0,1.0,1.0,0.0
DeMaster_2013_Task_1,0.0,0.0,1.0,1.0,1.0,1.0,1.0
DeMaster_2013_Task_2,0.0,0.0,1.0,1.0,1.0,1.0,1.0
DeMaster_2013b_Task_1,0.0,1.0,1.0,1.0,1.0,1.0,1.0
DeMaster_2013b_Task_2,0.0,1.0,1.0,1.0,1.0,1.0,1.0
DeMaster_2014_Task_1,0.0,1.0,0.0,1.0,1.0,1.0,1.0
DeMaster_2014_Task_2,0.0,1.0,0.0,1.0,1.0,1.0,1.0
DeMaster_2014_Task_3,0.0,1.0,0.0,1.0,1.0,1.0,1.0
DeMaster_2014_Task_4,0.0,1.0,0.0,1.0,1.0,1.0,1.0
DeMaster_2016_Task_1,0.0,0.0,1.0,1.0,1.0,1.0,1.0
Deng_2012_Task_1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Deng_2013_Task_1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Deng_2013_Task_2,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Deng_2015_Task_1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Deng_2015_Task_2,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Deng_2016_Task_1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Deng_2016_Task_2,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Destan_2014_Task_1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Dewhurst_2004_Task_1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Drummey_1995_Task_1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Drummey_1995_Task_2,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Drummey_2002_Task_1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Drummey_2002_Task_2,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Drummey_2002_Task_3,0.0,0.0,0.0,1.0,1.0,1.0,0.0
